dag_idx,n_nodes,in_degree,alpha,sample_size,kl,density,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
3,10,4,0.5,1400,0.15483130269932707,0.6666666666666666,0.05907250800009933,40960,222,1776
4,10,4,0.5,600,0.7064298875833085,0.6666666666666666,0.06316907099972013,32768,222,1776
4,10,4,0.5,1000,0.31981045660944657,0.6666666666666666,0.06071221299862373,32768,222,1776
4,10,4,0.5,1400,0.16905363820774175,0.6666666666666666,0.05976767999891308,53248,222,1776
5,10,4,0.5,600,1.0831279788673542,0.6666666666666666,0.05951576599909458,28672,222,1776
5,10,4,0.5,1000,0.6388481213494551,0.6666666666666666,0.0597979829981341,40960,222,1776
5,10,4,0.5,1400,0.5952135861396282,0.6666666666666666,0.06075698000131524,40960,222,1776
1,10,4,1.0,600,0.7522767210586255,0.6666666666666666,0.059639095001330134,20480,222,1776
1,10,4,1.0,1000,0.13610002031906374,0.6666666666666666,0.06036347099870909,49152,222,1776
1,10,4,1.0,1400,0.0620962773422881,0.6666666666666666,0.06087944300088566,36864,222,1776
2,10,4,1.0,600,0.972291858849281,0.6666666666666666,0.06193681500008097,12288,222,1776
2,10,4,1.0,1000,0.38181657179393597,0.6666666666666666,0.06306943600066006,40960,222,1776
2,10,4,1.0,1400,0.2043183176773043,0.6666666666666666,0.0652992670002277,40960,222,1776
3,10,4,1.0,600,0.29513176906797906,0.6666666666666666,0.061817922000045655,24576,222,1776
3,10,4,1.0,1000,0.16357093194170533,0.6666666666666666,0.06572543199945358,45056,222,1776
3,10,4,1.0,1400,0.07442727017965074,0.6666666666666666,0.06707095200181357,45056,222,1776
4,10,4,1.0,600,0.45966507471960405,0.6666666666666666,0.06307829599973047,28672,222,1776
4,10,4,1.0,1000,0.10946996282363625,0.6666666666666666,0.06183197100108373,45056,222,1776
4,10,4,1.0,1400,0.04412915019554357,0.6666666666666666,0.06187319500168087,45056,222,1776
5,10,4,1.0,600,0.2721374921747663,0.6666666666666666,0.060550733000127366,20480,222,1776
5,10,4,1.0,1000,0.20868208278873632,0.6666666666666666,0.060747696999897016,36864,222,1776
5,10,4,1.0,1400,0.11485928132904635,0.6666666666666666,0.06066580399783561,53248,222,1776
